SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
512797887,concessions_brevets_et_droits_similaires,1116,1547,0,1696,1134,2270,3407,0
512797887,installations_techniques_materiel_et_outillage_industriels,197022,160518,0,181005,205111,189375,180655,150264
512797887,autres_immobilisations_corporelles,319636,340087,0,253336,252233,207005,211370,201449
512797887,autres_immobilisations_financieres,2460,2460,0,2460,2460,880,880,880
512797887,total_i_immobilisations,583355,527693,0,547076,485134,434525,396313,352593
512797887,matieres_premieres_approvisionnements,5908,4842,0,3091,3831,6254,8508,5501
512797887,marchandises,16729,11070,0,21070,18389,19899,18115,32691
512797887,clients_et_comptes_rattaches,82595,87280,0,36828,87842,76185,102132,76848
512797887,autres_creances,3747836,2463655,0,2313925,1619137,1862070,1420813,1629094
512797887,disponibilites,139129,1247133,0,228284,1232823,141623,155556,77605
512797887,charges_constatees_davance,9305,4920,0,14460,3385,17313,43865,40581
512797887,total_ii_actif_circulant,4001502,3818901,0,2617657,2965408,2123345,1748992,1862320
512797887,total_general_actif,4584857,4346593,0,3164733,3450541,2557869,2145306,2214913
512797887,capital_social_ou_individuel,3000,3000,0,3000,3000,3000,3000,3000
512797887,reserve_legale,300,300,0,300,300,300,300,300
512797887,autres_reserves,36270,36270,0,36270,17056,17030,17030,17030
512797887,resultat_de_lexercice_benefice_ou_perte,1023216,809093,0,-23182,679214,351026,812244,850160
512797887,total_i_capital_social,1062786,851399,0,16388,699570,371356,832574,870490
512797887,provisions_pour_risques,0,0,0,0,0,8000,223174,191018
512797887,total_iii_provisions,0,10170,0,4937,4937,8000,223174,191018
512797887,emprunts_et_dettes_aupres_des_etablissements_de_credit,4004,20323,0,11657,22036,25261,196,0
512797887,avances_et_acomptes_recus_sur_commandes_en_cours,195655,169975,0,63237,55850,37388,48352,56488
512797887,dettes_fournisseurs_et_comptes_rattaches,798106,497139,0,269200,425573,471371,292665,312760
512797887,dettes_fiscales_et_sociales,260267,256659,0,738059,220853,202652,155545,186965
512797887,autres_dettes,2058,941,0,9459,0,2723,38761,37108
512797887,produits_constates_davance,1920907,1582120,0,1425868,1482822,1439119,554037,560083
512797887,total_iv_dettes,3522070,3485024,0,3142562,2746034,2178514,1089557,1153405
512797887,total_general_passif,4584857,4346593,0,3163888,3450541,2557869,2145306,2214913
512797887,dettes_et_produits_constates_davance_a_moins_dun_an,3326416,3315049,0,0,0,0,1041205,0
