SIREN,Name,Stocks/Revenue_%,Debt/EBITDA,Gross_Margin_%,EBITDA_Margin_%,Operating_Margin_%,Net_Margin_%,Return_on_Assets_%,Market_Share_%,Turnover_2Y_Growth_%,Operational_Margin_2Y_Growth_%,Net_Margin_2Y_Growth_%,ROA_2Y_Growth_%
478484603,CENTRE EQUESTRE LES ALLEES CAVALIERES,86.06,7,54.48,9.32,-1.21,-2.81,-2.06,0.14,10.19,-104.62,-111.34,-112.54
848023974,L'ILE VERTE,-201.38,7,-79.65,42.77,32.29,36.63,10.94,0.13,197.84,-56.09,-41.63,73.93
847596061,AQUABELLA,-51.43,-53,-52.81,-28.36,-120.21,-39.25,-1.5,0.11,61.76,-37.71,-27.64,17.19
841531924,CAPSULE CORP,97.71,4,68.27,20.59,0.59,0.06,0.06,0.11,501.44,-98.61,-99.85,-99.1
424161065,LES ECURIES DES SABLONS,99.24,3,51.98,14.41,3.7,3.36,2.0,0.06,-2.56,-77.71,-78.77,-79.3
539626283,LES SAVANTS DE GAÏA,88.17,135,64.45,0.27,-0.52,-1.2,-2.58,0.04,43.57,-108.7,-114.51,-120.81
505080143,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490119138,JM PRESTATIONS,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501676167,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817391238,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431419134,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483812160,ACCEL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431419134,LE MOULIN DE GEMAGES,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812363380,JMC LOISIRS,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478439854,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390485514,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795052968,NALO SPORT LE KLUBE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529067795,GRH INCENTIVE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324684190,UNIVERS LOISIRS,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834431777,LMDP NANTES,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495301756,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439172453,HALL BOWL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830870390,JST EVENTS,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483446241,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814801940,BEACH,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505080143,NAUTIC LOISIRS MEDITERRANEE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809102452,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519474860,PLAINE DE JEUX SAINT QUENTIN,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415296466,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830870390,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819171992,MASAI,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519474860,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337938021,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480983998,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828539346,LE STRIKER,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400221289,CHEVAL-LOISIRS-CAMPAGNE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407768688,FUNTECH,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500535612,THE FACTORY BOWLING,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337938021,SOCIETE DES PETITS TRAINS D'ARGELES,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830138731,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814801940,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822027801,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753282086,IRIS 63,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840058762,BO LYON,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377983044,A.A.A.,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815212360,LOISIRS MER ET DECOUVERTE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824244016,B UP,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799358734,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389843434,FRANCE MONTGOLFIERES SARL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752953711,PRISME EVENTS,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751627704,PROMO KART INTERNATIONAL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803311133,YACHTING LEVAGES,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828800524,BOULDER LINE,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344344981,SARL LE STAR,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514559004,BALEO,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499794998,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
