name;categorie;sous-categorie
VRV_PART OF GROUP;;
VRV_SARI;;
VRV_AQY;;
VRV_SETEO;;
VRV_TIBO-DEGO;;
VRV_QUBICA;CAPEX;
VRV_AGNET - AUBE;;
VRV_ARTUS SECURITE PROTE;;
VRV_ANIMJEUX;;
VRV_BRASSERIE LE FRANCE;;
VRV_ENTREPRISE INDIVIDUELLE;;
VRV_INNOV EVENTS;;
VRV_ID GRAPHIC;;
VRV_CHOMETTE;;
VRV_SAS F-SET;CAPEX;
VRV_SERVICES CLEAN PRO;;
VRV_ATELIER CHANGEUR SOTO;;
VRV_TKE ELEVATOR FRANCE;;
VRV_IT BUBBLY;;
VRV_SP SERVON;;
VRV_MAISON MIAM;;
VRV_AUTO ENTREPRENEUR PA;;
VRV_QUALICONSULT;;
VRV_RELAIS D OR;;
VRV_QUBICA AMF B;CAPEX;
VRV_ASSOCIATION PREVALY;;
VRV_MNC CLEANERS;;
VRV_CMULTISERV;;
VRV_ALEX LEGAL SAS;;
VRV_FTE INGENIERIE;;
VRV_O2P;CAPEX;
VRV_SEASON BOX;;
VRV_DECLERCK TRAITEUR SA;;Traiteur
VRV_EV DESIGN;;
VRV_VEOLIA RECYCLAGE VAL;;
VRV_LCB;;
VRV_EVENT TOR;;
VRV_DOLULLE;Loyer;
VRV_PLVBROKER STAND PLV;;
VRV_FROID-CHAUD;CAPEX;
VRV_L AVANT GOUT;;
VRV_AMTICO INTERNATIONAL;CAPEX;
VRV_LE BEAU THE;;
VRV_CLUB DES ACTEURS;;
VRV_SARL MLMD EVENTS;;
VRV_TRAITEUR DECLERCK;;
VRV_NOVOTEL LYON CONFLUE;;
VRV_Z I DELTA;;
VRV_XPLOSE;CAPEX;
VRV_SAS ARINNA FC;;
VRV_LE KOMPLEX;;
VRV_SCP RIVAT HUICHARD;;
VRV_A MA FACON;;
VRV_GDL;CAPEX;
VRV_CLAYE SOUILLY;;
VRV_GAMES FACTORY PARK;;
VRV_BTP CONSULTANTS;;
VRV_SALIF DADI;;
VRV_SAS CARROSSERIE TINOCO;;
VRV_SARL GUILLAUME LAURI;;
VRV_METRO;;
VRV_QUIM CABARET;;
VRV_BREELLE ELODIE;;
VRV_CPSI;;
VRV_GRAFFITI;;
VRV_D S AUTO;;
VRV_ZA DES PETITS;;
VRV_RML;;
VRV_FARENEIT ENERGIES;;
VRV_ALEX LEGAL;;
VRV_SIE SECURITE INCENDIE;;
VRV_LN2J LOISIRS CONCEPT;CAPEX;
VRV_CLEAN BOZ;;
VRV_LASERMAXX LASERGAMES;CAPEX;
VRV_THEYS RECYCLAGE P;;
VRV_QUBICAAMF BV;;
VRV_FONCIERE HENIN;Loyer;
VRV_FEVRE VIELLARD;;
VRV_LDH;;
VRV_TAXES LOCALES CONSULT;TVA / Impôts;Impots & taxes
